incident,command,service name,expansion
0,C:\WINDOWS\system32\zzxaqwe.sys C:\WINDOWS\SYSTEM32\CZCBBA~2.DLL,ccmsetup.exe,exe
1,C:\windows\system32\pcalua.exe -a c:\Program Files (x86)\Microsoft SQL Server\100\Setup Bootstrap\Release\x86\SetupARP.exe -c /X86,Служба Удаленного рабочего стола Chrome,exe
0,systemroot\system32\drivers\ctxusbm.sys,\Windows\System32\WindowsPowerShell\v1,exe
0,c:\windows\ccmsetup\ccmsetup.exe /runservice PC.DOMAIN.COM smssitecod=aes fsp=app-aes-096.aes.netcom.corp /retrywintask:1,\NvNodeLauncher_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},-
0,C:\Program Files (x86)\Google\Chrome Remote Desktop\116.0.5845.9\remoting_host.exe --type=daemon --host-config=C:\ProgramData\Google\Chrome Remote Desktop\host.json,\Optimize Push Notification Data File-User,-
1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -File C:\schedule\mimSyncDelta.ps1,HelpuHostService,bat
1,-,AD Computers Move FIL,ps1
0,-,\Перезагрузка в 7.30 на узле PC.DOMAIN.COM,exe
0,C:\Users\Public\Documents\HelpU\HelpULauncher\HelpuHostSvr.bat,rdpbus,sys
0,C:\Scripts\AD_Computers_Move_FIL\Move_fil_PCs_to_OU.ps1,RasSstp,sys
1,C:\Windows\System32\shutdown.exe -r,\pop3_syncsort_postgres,bat
0,C:\Windows\System32\drivers\rdpbus.sys,GENERICDRV,sys
0,C:\Windows\System32\drivers\rassstp.sys,wdiwifi,sys
0,D:\pop\syncsort_alerts_postgres.bat,realtek pcie card reader - per,sys
0,c:\users\user~1\appdata\local\temp\amifldrv64.sys,\CCleanerCrashReporting,exe
0,C:\Windows\System32\DRIVERS\wdiwifi.sys,Сетевой адаптер Realtek Wireless LAN 802.11n USB 2.0,sys
0,SystemRoot\System32\drivers\RtsPer.sys,lhidfilt.sys,sys
0,C:\Program Files\CCleaner\CCleanerBugReport.exe --product 90 --send dumps|report --path C:\Program Files\CCleaner\LOG --programpath C:\Program Files\CCleaner --configpath C:\Program Files\CCleaner\Setup --guid 6af5b541-fc36-4929-be3d-ac8f5cbc3a87 --version 6.04.10044 --silent,igfx,sys
1,systemroot\system32\drivers\rtwlanu_oldic.sys,QQSysMonX64,sys
0,systemroot\system32\drivers\lhidfilt.sys,\restart-wacsm,exe
0,systemroot\system32\driverstore\filerepository\iigd_dch.inf_amd64_dc29bdfd478be046\igdkmd64.sys,aswRdr,sys
1,C:\Program Files (x86)\Tencent\QQPCMgr\16.8.24465.209\QQSysMonX64_EV.sys,WireGuard Manager,py
0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -File C:\schedule\restart-wacsm.ps1,dlcdcncm,sys
0,WACSM - Office Online Server,\Used 1C licenses trapper,exe
0,C:\Windows\System32\drivers\aswRdr2.sys, Intel(R) SGX AESM,exe
0,C:\Program Files\WireGuard\wireguard.py,\MIR\OPCServerV30\ServerOm3.exe,exe
0,systemroot\system32\drivers\dlcdcncm660.sys,\VMware Guest OS Customization Task,-
1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe C:\Program Files\zabbix\scripts\session1ctrapper.ps1,6EVJcQ5c,exe
